Naziv,Cena,Procesor,Rezolucija,Broj HDMI
TCL Smart televizor 43" 43P615,37.999  RSD,CPU: 64-bit A55 x 4 900 MHz - 11 GHz GPU: Mali470 x 3 600 MHz - 800 MHz,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
32LQ63006LA.AEU Smart TV do LG,31.999  RSD,Nema podataka o procesoru,1920 x 1080 px Full HD,2
Volt Smart televizor 55" 55VU20BS,45.998  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,3
FOX Smart televizor 55" 55WOS600A,45.998  RSD,ARM Cortex-A55 Quad Core,3840 x 2160 px 4K Ultra HD,3
TCL Smart televizor 55" 55P715,54.999  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,3
TCL Smart televizor 43C725,49.999  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,3
Alpha Smart televizor 50G7NUA,39.999  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,2
Samsung Smart televizor UE50AU7022KXXH,47.999  RSD,Nema podataka o procesoru,3840 x 2160 px,3
Alpha Smart televizor 43M8TUA,32.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Smart televizor TCL 32S615,23.999  RSD,Quad Core,1366 x 768 px HD Ready,2
Samsung Smart televizor UE43TU7022KXXH,39.999  RSD,Crystal 4K,3840 x 2160 px 4K Ultra HD,2
TCL Smart televizor 32S5200,23.999  RSD,Dual Core,1366 x 768 px HD Ready,2
Alpha Smart televizor 65F8UA,59.998  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,4
Samsung Series 7 QE55Q70BAT 1397 cm (55") 4K Ultra HD Smart TV Wi-Fi Titanijum,99.999  RSD,Nema podataka o procesoru,3840 x 2160 piksela,4
Samsung Smart televizor UE43AU7022KXXH,39.999  RSD,Crystal 4K procesor,3840 x 2160 px,3
32LQ630B6LA.AEU Smart TV do LG,29.999  RSD,Nema podataka o procesoru,1366 x 768 px HD Ready,2
TCL Smart televizor 50P615,49.999  RSD,CPU: 64-bit A55 x 4 900 MHz - 11 GHz GPU: Mali470 x 3 600 MHz - 800 MHz,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
Sony Smart televizor KD-50X89J.AEP,89.999  RSD,4K HDR procesor X1,3840 x 2160 px,4
FOX Smart televizor 58DLE858,48.998  RSD,ARM Cortex-A53 Quad Core,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor QE65Q70BATXXH,129.999  RSD,4K Quantum,3840 x 2160 px,4
Tesla Smart televizor 32E635BHS,17.999  RSD,ARM cortex - Quad Core A55 1450 MHz Mali G31 MP2,1366 x 768 px,3
FOX Smart televizor 32AOS41C,14.998  RSD,Nema podataka o procesoru,1366 x 768 px HD Ready,3
Alpha Smart Android televizor 43G7NUA,32.999  RSD,Quad Core,3840 x 2160 px 4K Ultra HD,2
VOX Smart televizor 43A11F316B,24.998  RSD,ARM Cortex A53/12 GHz/Quad Core,1920 x 1080 px,3
Sony Smart televizor 50" KD50X80JAEP,79.999  RSD,4K HDR processor X1,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD-55X89J.AEP,99.999  RSD,4K HDR procesor X1,3840 x 2160 px,4
Sony Smart televizor KE55XH9005BAEP,99.998  RSD,X1 4K HDR procesor,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD-50X80JCEP,79.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD65A8BAEP,199.998  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung UE43BU8072UXXH televizor 1092 cm (43") 4K Ultra HD Smart TV Wi-Fi Crno,49.999  RSD,Nema podataka o procesoru,3840 x 2160 piksela,3
Samsung Smart televizor UE50BU8072UXXH,57.999  RSD,Crstyal processor 4K,3840 x 2160 px,3
Sony Smart televizor XR55A95KAEP,329.999  RSD,Nema podataka o procesoru,3840 x 216 px,Nema podataka o HDMI
Samsung Smart televizor UE43TU7092UXXH,41.999  RSD,Crystal 4K,3840 x 2160 px 4K Ultra HD,2
TCL Smart televizor 55P615,54.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Sony Smart televizor XR-50X90JCEP,109.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
VOX Smart televizor 32ADW-D1B,15.998  RSD,Nema podataka o procesoru,1366 x 768 px HD Ready,2
Samsung Smart televizor QE50Q67BAUXXH,66.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung Smart televizor UE43AU7092UXXH,41.999  RSD,Nema podataka o procesoru,3840 x 2160 px,3
Tesla Smart televizor 43E635BFS,27.999  RSD,Nema podataka o procesoru,1920 x 1080 px,3
